action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,59.0,5,,,,,White,,,,,1,Male,0,2012,445.09,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,65.0,Riverside County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,40140.0,"Riverside, San Bernardino, Ontario - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",33-0975529,11211,6,CA,California,63300.0,169,1302.0,486.0,70.34999847412111,3939.0,,52.38000106811523
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,192.0,5,,,,,White,,,,,1,Male,0,2012,406.07,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,65.0,Riverside County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,40140.0,"Riverside, San Bernardino, Ontario - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),42-1554181,7744,6,CA,California,63300.0,462,2118.0,1478.0,73.2300033569336,9317.0,,123.7699966430664
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2012,3040.05,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,13.0,Contra Costa County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,36084.0,"Oakland, Fremont, Hayward - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",26-0508430,5112,6,CA,California,93500.0,313,1859.0,1320.0,37.66999816894531,6738.0,,115.29000091552734
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,73.0,5,,,,,White,,,,,1,Male,2,2012,108.15,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,3.0,Allen County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,23060.0,Fort Wayne - IN,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,2408210,18,IN,Indiana,63800.0,108,1752.0,1557.0,12.90999984741211,4484.0,,113.61000061035156
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,78.0,5,,,,,White,,,,,1,Male,0,2012,506.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,159.0,Union County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,18140.0,Columbus - OH,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000032296,5192,39,OH,Ohio,67500.0,276,1435.0,1189.0,21.1200008392334,4872.0,,168.66000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,24.0,5,,,,,White,,,,,1,Male,0,2012,107.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,49.0,Erie County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,21500.0,Erie - PA,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000852218,841818,42,PA,Pennsylvania,58700.0,46,1548.0,1245.0,7.610000133514403,4019.0,,118.8499984741211
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,38.0,5,,,,,White,,,,,1,Male,2,2012,116.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,3.0,Allen County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,23060.0,Fort Wayne - IN,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2201271,18,IN,Indiana,63800.0,107,2466.0,2330.0,9.15999984741211,6192.0,,149.97000122070312
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,130.0,5,,,,,White,,,,,1,Male,0,2012,17.61,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,453.0,Travis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,12420.0,"Austin, Round Rock, San Marcos - TX",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7197000003,85188,48,TX,Texas,75900.0,284,2014.0,1801.0,19.07999992370605,7022.0,,240.1999969482422
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,70.0,5,,,,,White,,,,,1,Male,0,2012,32.43,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,3.0,Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,29820.0,"Las Vegas, Paradise - NV",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000852218,111676,32,NV,Nevada,64300.0,112,1659.0,1229.0,39.25,5016.0,,163.44000244140625
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,150.0,5,,,,,White,,,,,2,Female,0,2012,1304.05,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,117.0,Forsyth County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,12060.0,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7811300008,4333,13,GA,Georgia,69300.0,235,1373.0,1139.0,21.43000030517578,4037.0,,142.9499969482422
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,417.0,5,,,,,White,,,,,1,Male,0,2012,304.0,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,75.0,San Francisco County,9.0,,,Other,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,41884.0,"San Francisco, San Mateo, Redwood City - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,80-0051964,1043,6,CA,California,103000.0,750,1986.0,1599.0,51.040000915527344,5106.0,,135.25999450683594
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,33.0,5,,,,,White,,,,,1,Male,0,2012,1301.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,117.0,Forsyth County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,12060.0,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),7983500003,5864,13,GA,Georgia,69300.0,135,1296.0,953.0,14.390000343322756,3925.0,,86.72000122070312
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,141.0,5,,,,,White,,,,,1,Male,0,2012,4045.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,1.0,Alameda County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,36084.0,"Oakland, Fremont, Hayward - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",2003500009,965,6,CA,California,93500.0,528,2559.0,2098.0,27.8700008392334,5784.0,,158.3800048828125
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,,,,,White,,,,,2,Female,0,2012,116.22,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,121.0,Fulton County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,12060.0,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,3,Multifamily dwelling,7,"Life insurance company, credit union, mortgage bank, or finance company",7811300008,4330,13,GA,Georgia,69300.0,293,2633.0,2510.0,56.47000122070313,9625.0,,184.0200042724609
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,101.0,5,,,,,White,,,,,1,Male,0,2012,1302.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,41.0,Marin County,7.0,,,Credit application incomplete,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,41884.0,"San Francisco, San Mateo, Redwood City - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,80-0051964,1040,6,CA,California,103000.0,200,2224.0,1339.0,12.170000076293945,4453.0,,144.02999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,57.0,5,,,,,White,,,,,1,Male,0,2012,1587.11,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103.0,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,35004.0,"Nassau, Suffolk - NY",1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",26-0001165,3567,36,NY,New York,107500.0,199,1542.0,1560.0,31.479999542236328,5277.0,1.71,88.7300033569336
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,125.0,5,,,,,White,,,,,1,Male,2,2012,323.22,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,33.0,King County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,42644.0,"Seattle, Bellevue, Everett - WA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000451965,2307232,53,WA,Washington,88000.0,182,1106.0,1049.0,17.190000534057614,3344.0,,168.82000732421875
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,76.0,1,,,,,American Indian or Alaska Native,,,,,1,Male,0,2012,36.3,1,Hispanic or Latino,1,,,,,American Indian or Alaska Native,,,,,2,Female,3.0,Clark County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,29820.0,"Las Vegas, Paradise - NV",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,821579,32,NV,Nevada,64300.0,109,2134.0,1483.0,52.02000045776367,5978.0,,126.01000213623048
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2012,100.17,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,71.0,San Bernardino County,,,,,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,40140.0,"Riverside, San Bernardino, Ontario - CA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,43-1965151,26075,6,CA,California,63300.0,241,4176.0,3205.0,57.52999877929688,14798.0,,110.66999816894531
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,147.0,5,,,,,White,,,,,1,Male,2,2012,1082.21,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,109.0,Oklahoma County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,36420.0,Oklahoma City - OK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000451965,2504862,40,OK,Oklahoma,61500.0,285,1379.0,1164.0,17.420000076293945,5574.0,,166.41000366210938
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,50.0,5,,,,,White,,,,,2,Female,0,2012,3120.94,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,183.0,St. Charles County,9.0,,,Other,,,6.0,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,41180.0,"St. Louis - MO, IL",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000476810,235249,29,MO,Missouri,70400.0,136,1265.0,1055.0,17.290000915527347,4372.0,,106.27999877929688
